length,prefix,ppl,tokens
1024,instruction,8.466853424934786,1024
1024,baseline,10.57460046047512,1024
1024,whitespace,10.57460046047512,1024
1024,punctuation,10.57460046047512,1024
1024,random_words,10.57460046047512,1024
1024,instruction,10.57460046047512,1024
1024,baseline,11.512279073696309,1024
1024,whitespace,11.512279073696309,1024
1024,punctuation,11.512279073696309,1024
1024,random_words,11.512279073696309,1024
1024,instruction,11.512279073696309,1024
1024,baseline,12.250211865255945,1024
1024,whitespace,12.250211865255945,1024
1024,punctuation,12.250211865255945,1024
1024,random_words,12.250211865255945,1024
1024,instruction,12.250211865255945,1024
1024,baseline,9.130570679507898,1024
1024,whitespace,9.130570679507898,1024
1024,punctuation,9.130570679507898,1024
1024,random_words,9.130570679507898,1024
1024,instruction,9.130570679507898,1024
1024,baseline,14.48460563066194,1024
1024,whitespace,14.48460563066194,1024
1024,punctuation,14.48460563066194,1024
1024,random_words,14.48460563066194,1024
1024,instruction,14.48460563066194,1024
1024,baseline,9.881131235405002,1024
1024,whitespace,9.881131235405002,1024
1024,punctuation,9.881131235405002,1024
1024,random_words,9.881131235405002,1024
1024,instruction,9.881131235405002,1024
1024,baseline,11.230421578640716,1024
1024,whitespace,11.230421578640716,1024
1024,punctuation,11.230421578640716,1024
1024,random_words,11.230421578640716,1024
1024,instruction,11.230421578640716,1024
1024,baseline,12.796463262770452,1024
1024,whitespace,12.796463262770452,1024
1024,punctuation,12.796463262770452,1024
1024,random_words,12.796463262770452,1024
1024,instruction,12.796463262770452,1024
1024,baseline,15.563595399563388,1024
1024,whitespace,15.563595399563388,1024
1024,punctuation,15.563595399563388,1024
1024,random_words,15.563595399563388,1024
1024,instruction,15.563595399563388,1024
1024,baseline,9.21404649498772,1024
1024,whitespace,9.21404649498772,1024
1024,punctuation,9.21404649498772,1024
1024,random_words,9.21404649498772,1024
1024,instruction,9.21404649498772,1024
1024,baseline,16.532212098923793,1024
1024,whitespace,16.532212098923793,1024
1024,punctuation,16.532212098923793,1024
1024,random_words,16.532212098923793,1024
1024,instruction,16.532212098923793,1024
1024,baseline,8.402333975527334,1024
1024,whitespace,8.402333975527334,1024
1024,punctuation,8.402333975527334,1024
1024,random_words,8.402333975527334,1024
1024,instruction,8.402333975527334,1024
1024,baseline,16.093576381893573,1024
1024,whitespace,16.093576381893573,1024
1024,punctuation,16.093576381893573,1024
1024,random_words,16.093576381893573,1024
1024,instruction,16.093576381893573,1024
1024,baseline,12.185738756000104,1024
1024,whitespace,12.185738756000104,1024
1024,punctuation,12.185738756000104,1024
1024,random_words,12.185738756000104,1024
1024,instruction,12.185738756000104,1024
1024,baseline,11.618352216886086,1024
1024,whitespace,11.618352216886086,1024
1024,punctuation,11.618352216886086,1024
1024,random_words,11.618352216886086,1024
1024,instruction,11.618352216886086,1024
1024,baseline,13.281810958266524,1024
1024,whitespace,13.281810958266524,1024
1024,punctuation,13.281810958266524,1024
1024,random_words,13.281810958266524,1024
1024,instruction,13.281810958266524,1024
1024,baseline,11.130214516228454,1024
1024,whitespace,11.130214516228454,1024
1024,punctuation,11.130214516228454,1024
1024,random_words,11.130214516228454,1024
1024,instruction,11.130214516228454,1024
1024,baseline,11.212581918496824,1024
1024,whitespace,11.212581918496824,1024
1024,punctuation,11.212581918496824,1024
1024,random_words,11.212581918496824,1024
1024,instruction,11.212581918496824,1024
1024,baseline,8.006806452130572,1024
1024,whitespace,8.006806452130572,1024
1024,punctuation,8.006806452130572,1024
1024,random_words,8.006806452130572,1024
1024,instruction,8.006806452130572,1024
1024,baseline,9.573522882648,1024
1024,whitespace,9.573522882648,1024
1024,punctuation,9.573522882648,1024
1024,random_words,9.573522882648,1024
1024,instruction,9.573522882648,1024
1024,baseline,12.001362207955836,1024
1024,whitespace,12.001362207955836,1024
1024,punctuation,12.001362207955836,1024
1024,random_words,12.001362207955836,1024
1024,instruction,12.001362207955836,1024
1024,baseline,8.101456632211619,1024
1024,whitespace,8.101456632211619,1024
1024,punctuation,8.101456632211619,1024
1024,random_words,8.101456632211619,1024
1024,instruction,8.101456632211619,1024
1024,baseline,13.13322768109792,1024
1024,whitespace,13.13322768109792,1024
1024,punctuation,13.13322768109792,1024
1024,random_words,13.13322768109792,1024
1024,instruction,13.13322768109792,1024
1024,baseline,9.363784600548518,1024
1024,whitespace,9.363784600548518,1024
1024,punctuation,9.363784600548518,1024
